p_id,rule,experiment,balance,conform
252,"else_(conform_(x, 2), else_(balance_(x, 3), '1'))",2B,0.7,1.0
253,"else_(conform_(x, 4), '1')",2B,0.0,1.0
254,"else_(balance_(x, 3), invert_(get_(x, 0)))",2B,1.0,0.0
255,"else_(conform_(x, 4), invert_(get_(x, 0)))",2B,0.0,1.0
256,"else_(conform_(x, 4), get_(x, 7))",2B,0.0,1.0
257,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
258,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
259,'1',2B,0.0,0.0
260,"else_(conform_(x, 2), else_(balance_(x, 3), invert_(get_(x, 7))))",2B,0.7,1.0
261,"else_(streak_(x, 2), else_(balance_(x, 4), invert_(get_(x, 0))))",2B,0.7,0.0
262,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
263,"else_(streak_(x, 3), invert_(get_(x, 7)))",2B,0.0,0.0
264,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
265,"else_(streak_(x, 3), else_(balance_(x, 2), else_(conform_(x, 3), invert_(get_(x, 7)))))",2B,0.7,0.48999999999999994
266,"else_(patternCont_(x), else_(streak_(x, 6), else_(balance_(x, 4), '0')))",2B,0.48999999999999994,0.0
267,"else_(streak_(x, 2), else_(balance_(x, 4), '1'))",2B,0.7,0.0
268,'1',2B,0.0,0.0
269,"else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0)))",2B,0.7,1.0
270,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
271,"else_(balance_(x, 4), invert_(get_(x, 0)))",2B,1.0,0.0
272,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
273,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
274,"else_(conform_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,0.0,1.0
275,"else_(patternCont_(x), else_(balance_(x, 4), '1'))",2B,0.7,0.0
276,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
277,"else_(conform_(x, 4), get_(x, 7))",2B,0.0,1.0
278,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
279,"else_(streak_(x, 5), invert_(get_(x, 7)))",2B,0.0,0.0
280,"else_(conform_(x, 4), else_(patternCont_(x), '0'))",2B,0.0,1.0
281,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
282,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
283,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
284,"else_(streak_(x, 6), invert_(get_(x, 7)))",2B,0.0,0.0
285,"else_(balance_(x, 4), else_(streak_(x, 6), get_(x, 0)))",2B,1.0,0.0
286,"else_(balance_(x, 4), invert_(get_(x, 0)))",2B,1.0,0.0
287,"else_(conform_(x, 4), '1')",2B,0.0,1.0
288,"else_(balance_(x, 2), else_(conform_(x, 3), else_(patternCont_(x), '1')))",2B,1.0,0.7
289,"else_(balance_(x, 3), '0')",2B,1.0,0.0
290,"else_(conform_(x, 2), else_(balance_(x, 3), invert_(get_(x, 7))))",2B,0.7,1.0
291,"else_(balance_(x, 2), '0')",2B,1.0,0.0
292,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
293,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
294,"else_(conform_(x, 3), invert_(get_(x, 0)))",2B,0.0,1.0
295,"else_(streak_(x, 5), get_(x, 0))",2B,0.0,0.0
296,"invert_(get_(x, 7))",2B,0.0,0.0
297,"else_(patternCont_(x), get_(x, 7))",2B,0.0,0.0
298,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",2B,0.7,0.0
299,"else_(balance_(x, 2), else_(conform_(x, 4), invert_(get_(x, 0))))",2B,1.0,0.7
300,"else_(balance_(x, 3), get_(x, 0))",2B,1.0,0.0
301,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
1,"else_(conform_(x, 4), '1')",1B,0.0,1.0
2,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",1B,0.7,0.0
3,"else_(conform_(x, 3), invert_(get_(x, 7)))",1B,0.0,1.0
4,"else_(conform_(x, 3), invert_(get_(x, 7)))",1B,0.0,1.0
5,"else_(patternCont_(x), invert_(get_(x, 0)))",1B,0.0,0.0
