p_id,posterior,prior,likelihood,rule
15,-6.661618559873793,-6.643789733147672,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 3), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 6), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 0), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 5), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 1), '1')"""
16,-18.73316932240578,-7.203405521083095,-11.529763801322682,"""lambda x: else_(streak_(x, 2), '1')"""
16,-18.173553534470354,-6.643789733147672,-11.529763801322682,"""lambda x: else_(balance_(x, 1), '1')"""
16,-18.173553534470354,-6.643789733147672,-11.529763801322682,"""lambda x: else_(conform_(x, 1), '1')"""
16,-16.787259173350463,-5.2574953720277815,-11.529763801322682,"""lambda x: else_(patternCont_(x), '1')"""
16,-14.014670451110682,-2.4849066497880004,-11.529763801322682,"""lambda x: '1'"""
17,-21.50575804464555,-9.975994243322875,-11.529763801322675,"""lambda x: else_(streak_(x, 4), else_(patternCont_(x), '1'))"""
17,-21.50575804464555,-9.975994243322875,-11.529763801322675,"""lambda x: else_(streak_(x, 0), else_(patternCont_(x), '1'))"""
17,-21.50575804464555,-9.975994243322875,-11.529763801322675,"""lambda x: else_(streak_(x, 1), else_(patternCont_(x), '1'))"""
17,-21.50575804464555,-9.975994243322875,-11.529763801322675,"""lambda x: else_(streak_(x, 3), else_(patternCont_(x), '1'))"""
17,-20.94614225671013,-9.416378455387454,-11.529763801322675,"""lambda x: else_(balance_(x, 1), else_(patternCont_(x), '1'))"""
17,-20.94614225671013,-9.416378455387454,-11.529763801322675,"""lambda x: else_(conform_(x, 1), else_(patternCont_(x), '1'))"""
17,-20.94614225671013,-9.416378455387454,-11.529763801322675,"""lambda x: else_(patternCont_(x), else_(balance_(x, 1), '1'))"""
17,-20.94614225671013,-9.416378455387454,-11.529763801322675,"""lambda x: else_(patternCont_(x), else_(conform_(x, 1), '1'))"""
17,-19.559847895590238,-8.030084094267563,-11.529763801322675,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), '1'))"""
17,-16.787259173350456,-5.2574953720277815,-11.529763801322675,"""lambda x: else_(patternCont_(x), '1')"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 2), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 3), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 4), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 3), else_(balance_(x, 4), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(conform_(x, 1), else_(balance_(x, 4), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 1), else_(balance_(x, 4), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 2), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 3), '0'))"""
18,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 1), '0'))"""
18,-29.685488509066907,-6.643789733147672,-23.041698775919233,"""lambda x: else_(balance_(x, 4), '0')"""
19,-46.475538142893974,-11.92190439237819,-34.553633750515786,"""lambda x: else_(streak_(x, 0), else_(streak_(x, 1), invert_(get_(x, 7))))"""
19,-46.475538142893974,-11.92190439237819,-34.553633750515786,"""lambda x: else_(streak_(x, 1), else_(streak_(x, 1), invert_(get_(x, 7))))"""
19,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(streak_(x, 1), else_(balance_(x, 2), invert_(get_(x, 7))))"""
19,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(streak_(x, 1), else_(balance_(x, 1), invert_(get_(x, 7))))"""
19,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(streak_(x, 1), else_(conform_(x, 1), invert_(get_(x, 7))))"""
19,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(balance_(x, 1), else_(streak_(x, 1), invert_(get_(x, 7))))"""
19,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(conform_(x, 1), else_(streak_(x, 1), invert_(get_(x, 7))))"""
19,-44.52962799383866,-9.975994243322877,-34.553633750515786,"""lambda x: else_(patternCont_(x), else_(streak_(x, 1), invert_(get_(x, 7))))"""
19,-44.52962799383866,-9.975994243322875,-34.553633750515786,"""lambda x: else_(streak_(x, 1), else_(patternCont_(x), invert_(get_(x, 7))))"""
19,-41.757039271598885,-7.203405521083095,-34.553633750515786,"""lambda x: else_(streak_(x, 1), invert_(get_(x, 7)))"""
20,-25.10502534006981,-13.575261538747126,-11.529763801322684,"""lambda x: else_(balance_(x, 3), else_(conform_(x, 1), else_(patternCont_(x), '1')))"""
20,-25.10502534006981,-13.575261538747126,-11.529763801322684,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 3), '1')))"""
20,-25.10502534006981,-13.575261538747126,-11.529763801322684,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 2), '1')))"""
20,-25.10502534006981,-13.575261538747126,-11.529763801322684,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 1), '1')))"""
